userid	education	region	hhsz	age	income	child	race	country	domain	date	qty	price
11443031	4	1	2	11	4	1	1	0	amazon.com	20070101	1	19.8
11443031	4	1	2	11	4	1	1	0	amazon.com	20070101	1	17.13
11443031	4	1	2	11	4	1	1	0	amazon.com	20070101	1	19.8
11519009	99	2	3	5	3	1	2	0	amazon.com	20070101	1	2
11519009	99	2	3	5	3	1	2	0	amazon.com	20070101	1	3.88
11519009	99	2	3	5	3	1	2	0	amazon.com	20070101	1	0.2
11519009	99	2	3	5	3	1	2	0	amazon.com	20070101	1	11.58
11519009	99	2	3	5	3	1	2	0	amazon.com	20070101	1	10.2
11519009	99	2	3	5	3	1	2	0	amazon.com	20070101	1	10.2
11550824	99	4	3	6	7	1	1	1	amazon.com	20070101	1	13.79
12650861	4	1	5	7	6	1	1	0	amazon.com	20070101	1	3.99
12650861	4	1	5	7	6	1	1	0	amazon.com	20070101	1	3.99
12856796	99	2	1	6	1	0	1	0	amazon.com	20070101	1	5
12856796	99	2	1	6	1	0	1	0	amazon.com	20070101	1	3.77
12856796	99	2	1	6	1	0	1	0	amazon.com	20070101	1	6.79
12879242	99	*	5	7	2	0	1	0	amazon.com	20070101	1	44.94
12941587	4	4	4	8	6	1	1	0	amazon.com	20070101	1	49.99
12941587	4	4	4	8	6	1	1	0	amazon.com	20070101	1	49.95
13068697	2	4	1	7	2	0	1	0	amazon.com	20070101	1	9.96
13503636	4	3	4	8	7	1	1	1	barnesandnoble.com	20070101	1	8.95
13503636	4	3	4	8	7	1	1	1	barnesandnoble.com	20070101	1	12.56
13503636	4	3	4	8	7	1	1	1	barnesandnoble.com	20070101	1	5.95
13586673	99	1	4	10	6	1	1	0	amazon.com	20070101	1	10.17
13649364	99	1	3	4	5	0	1	1	amazon.com	20070101	1	6.5
13649364	99	1	3	4	5	0	1	1	amazon.com	20070101	1	6.99
13649364	99	1	3	4	5	0	1	1	amazon.com	20070101	1	6.99
13649364	99	1	3	4	5	0	1	1	amazon.com	20070101	1	10.17
13649364	99	1	3	4	5	0	1	1	amazon.com	20070101	1	6.99
13680594	4	2	2	10	5	0	1	1	amazon.com	20070101	1	0.1
13680594	4	2	2	10	5	0	1	1	amazon.com	20070101	1	0.01
13743146	99	3	2	10	5	1	1	0	amazon.com	20070101	1	0.99
13851582	99	3	4	6	4	1	1	1	amazon.com	20070101	1	40
13851582	99	3	4	6	4	1	1	1	amazon.com	20070101	1	9.67
13851582	99	3	4	6	4	1	1	1	amazon.com	20070101	1	57
13851582	99	3	4	6	4	1	1	1	amazon.com	20070101	1	53.99
13851582	99	3	4	6	4	1	1	1	amazon.com	20070101	1	31.5
13851582	99	3	4	6	4	1	1	1	amazon.com	20070101	1	30
13875239	2	1	1	5	6	0	1	1	amazon.com	20070101	1	1.99
14458751	99	3	4	7	6	1	1	0	amazon.com	20070101	1	131.97
14458751	99	3	4	7	6	1	1	0	amazon.com	20070101	1	110.22
14530124	99	1	1	9	5	0	1	0	amazon.com	20070101	1	16.29
